                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91218,                 2.8846,                   3.04,                 1.2104,                0.15915,                0.46986,                0.22661,                0.18678,                0.15187,                 0.4375,                0.20233,                0.18111,                0.52784,                 1.4009,                 2.6236,                0.98724,                 0.0973,                 0.0003,                 0.0003
                      2,                 0.8893,                 2.5741,                 3.1048,                 1.2014,                 0.3268,                 0.4375,                0.26762,                0.14453,                0.08291,                  0.625,                0.11984,                0.04207,                 2.7553,                 12.146,                 63.059,                 3.1834,               0.093665,             0.00066535,             0.00066535
                      3,                 1.2562,                 1.7989,                 6.0756,                 1.3938,                0.26566,                 0.4375,                0.03514,                0.01153,                0.26858,                 0.4375,                0.02962,                 0.0159,                 2.4269,                 14.882,                 281.65,                 3.5177,               0.089991,              0.0009911,              0.0009911
                      4,                  1.221,                 1.0624,                 2.6793,                 1.3628,                0.00368,                    0.5,                0.00777,                0.00264,                0.00238,                 0.4375,                0.00443,                0.00143,                 3.9867,                  87.48,                    inf,                 30.595,               0.086277,              0.0012772,              0.0012772
                      5,                 1.2101,                0.85765,                 2.2072,                 1.3899,                0.00097,                 0.4375,                0.00351,                0.00067,                0.00028,                  0.125,                0.00035,                 0.0001,                 3.8404,                 284.61,                    inf,                 104.49,               0.082524,              0.0015238,              0.0015238
                      6,                 1.0163,                0.61936,                 1.9188,                 1.2454,                0.00208,                   0.75,                0.01392,                0.00278,                0.00021,                 0.0625,                0.00017,                  3e-05,                 3.7075,                 1145.8,                    inf,                 75.439,               0.078731,              0.0017308,              0.0017308
                      7,                  1.084,                0.97436,                 1.9019,                 1.2963,                0.00173,                  0.375,                0.00183,                0.00058,                      0,                      0,                      0,                      0,                 3.2934,                 2304.4,                    inf,                 33.649,               0.074898,              0.0018981,              0.0018981
                      8,                 1.0119,                0.62238,                 1.8257,                 1.2453,                0.00173,                  0.375,                0.00183,                0.00058,                      0,                      0,                      0,                      0,                  4.767,                 2402.7,                    inf,                 44.309,               0.071026,              0.0020259,              0.0020259
                      9,                 1.0021,                0.78058,                 1.6845,                 1.2473,                0.00173,                  0.375,                0.00183,                0.00058,                      0,                      0,                      0,                      0,                 4.7932,                 397.33,                    inf,                 101.57,               0.067114,               0.002114,               0.002114
                     10,                0.93303,                0.70271,                 1.6133,                 1.2381,                0.00173,                  0.375,                0.00183,                0.00058,                      0,                      0,                      0,                      0,                 5.0413,                 270.84,                    inf,                 89.456,               0.063163,              0.0021626,              0.0021626
                     11,                  1.119,                0.62423,                 2.1028,                 1.5238,                0.00173,                  0.375,                0.00183,                0.00058,                      0,                      0,                      0,                      0,                 5.6604,                 108.93,                    inf,                  107.6,               0.059172,              0.0021715,              0.0021715
                     12,                 1.0217,                0.55367,                 1.8455,                 1.4088,                0.00173,                  0.375,                0.00183,                0.00058,                      0,                      0,                      0,                      0,                 5.5642,                 81.143,                 292.56,                 26.235,               0.055141,              0.0021409,              0.0021409
                     13,                0.94453,                0.54166,                 1.7311,                 1.4059,                0.00173,                  0.375,                0.00183,                0.00058,                      0,                      0,                      0,                      0,                 5.0991,                 25.323,                 7.0099,                 12.509,               0.051071,              0.0020706,              0.0020706
                     14,                0.96155,                0.44178,                 1.6614,                 1.3653,                0.00173,                  0.375,                0.00183,                0.00058,                      0,                      0,                      0,                      0,                 4.8886,                 32.187,                 6.1463,                 11.618,               0.046961,              0.0019607,              0.0019607
                     15,                0.99749,                0.44881,                 1.5605,                 1.3936,                0.00025,                 0.0625,                0.00016,                  3e-05,                      0,                      0,                      0,                      0,                 3.9054,                 30.621,                 5.5908,                 7.8487,               0.042811,              0.0018113,              0.0018113
                     16,                0.84677,                0.36046,                 1.4638,                 1.3093,                0.00123,                   0.25,                0.00111,                0.00016,                      0,                      0,                      0,                      0,                 3.3529,                 30.094,                 5.4177,                  6.389,               0.038622,              0.0016222,              0.0016222
                     17,                 0.7262,                0.30252,                 1.3798,                 1.2578,                0.00062,                  0.125,                0.00088,                0.00011,                0.00414,                 0.0625,                0.01069,                0.00175,                 3.5161,                 26.612,                  4.572,                 6.6496,               0.034394,              0.0013936,              0.0013936
                     18,                0.74489,                0.34693,                 1.3875,                 1.3179,                0.80979,                  0.125,                 0.0534,                0.01538,                0.80979,                  0.125,                0.05785,                0.02475,                 3.4296,                  6.909,                 4.0844,                 5.9612,               0.030125,              0.0011254,              0.0011254
                     19,                0.72885,                 0.3022,                 1.3327,                 1.2335,                0.82219,                  0.125,                0.08602,                0.03217,                0.82219,                  0.125,                0.09216,                0.04519,                 2.8867,                 5.5248,                 4.2795,                  5.079,               0.025817,              0.0008175,              0.0008175
                     20,                0.73934,                0.37181,                  1.317,                 1.2137,                0.84064,                 0.1875,                0.10014,                0.03655,                0.84064,                 0.1875,                 0.1108,                0.05771,                 2.5703,                 4.0281,                 4.4178,                 4.3498,                0.02147,             0.00047005,             0.00047005
